Glossar - Rohzutaten,,,,,,,,,,,,,,
Kategorie,Name DE,Name EN,CO₂ / 1.6FU (ohne Flug) ,g CO2 / 100g (ohne Flug) ,CO2 Base Value [g] ,Summe Transport für 1.6 FU,CO2 Land Transport [g] ,CO2 Sea Transport [g] ,CO2 Air Transport [g],Food Unit ,Energy [kcal] ,kcal für 1.6FU,Gewicht für 1.6 FU,Name FR
meat,Rind (Hinterkeule),Beef (back leg),5284,1849.44,1847,7,2.4,0,0,0.56,117.75,336,286,Bœuf (patte arrière)
meat,Rind (Siedfleisch),Beef (boiling meat),2465,1124.44,1122,5,2.4,0,0,0.73,225.95,495,219,Bœuf (viande bouillie)
meat,Rind (Geschnetzeltes),Beef (cut intro stripes),5290,1785.44,1783,7,2.4,0,0,0.54,103.42,306,296,Bœuf (escalope)
meat,Rind (Filet),Beef (filet),16526,5577.44,5575,7,2.4,0,0,0.54,106.53,316,296,Bœuf (filet)
meat,Rind (Hackfleisch),Beef (ground meat),2543,985.44,983,6,2.4,0,0,0.62,154.06,398,258,Bœuf (viande hachée)
meat,Rind (Hüfte),Beef (hip or round),8450,3221.44,3219,6,2.4,0,0,0.61,133.99,351,262,Bœuf (rumsteck)
meat,Rind (Innereien),Beef (innards),2762,621.44,619,11,2.4,0,0,0.36,85.27,379,444,Bœuf (abats)
meat,Rind (Ragout),Beef (ragout),4112,1336.44,1334,8,2.4,0,0,0.52,97.45,300,308,Boeuf (ragoût)
meat,Rind (Hohrücken),Beef (rib eye),6909,2763.44,2761,6,2.4,0,0,0.64,165.28,413,250,Bœuf (échine)
meat,Rind (Roastbeef),Beef (roastbeef),11298,3954.44,3952,7,2.4,0,0,0.56,117.75,336,286,Bœuf (rosbif)
meat,Rind (Wurstfleisch),Beef (sausage),1841,621.44,619,7,2.4,0,0,0.54,103.42,306,296,Bœuf (chair à saucisse)
meat,Rind (Schnitzel),Beef (schnitzel),6430,2250.44,2248,7,2.4,0,0,0.56,112.02,320,286,Bœuf (escalope)
meat,Rind (Schulterbraten),Beef (shoulder),4518,1581.44,1579,7,2.4,0,0,0.56,117.75,336,286,Bœuf (rôti d'épaule)
meat,Huhn,Chicken,1184,451.33,440,30,7.3,4.08,0,0.61,167.43,439,262,Poulet
meat,Hähnchen (Brust),Chicken (breast),2069,711.33,700,33,7.3,4.08,0,0.55,106.05,309,291,Poulet (poitrine)
meat,Huhn (Schenkel),Chicken (leg),817,311.33,300,30,7.3,4.08,0,0.61,167.43,439,262,Poulet (cuisse)
meat,Huhn (Flügel),Chicken (wings),830,316.33,305,30,7.3,4.08,0,0.61,167.43,439,262,Poulet (ailes)
meat,Huhn (ganz),Chicken whole animal,894,279.33,268,36,7.3,4.08,0,0.5,125.57,402,320,Poulet entier
meat,Hirsch,Deer meat,3075,1095.37,1090,15,5.4,0,0,0.57,122.29,343,281,Chevreuil
meat,Ente,Duck,673,391.33,383,14,8.3,0,0,0.93,388,668,172,Canard
meat,Fohlen,Foal,3372,1117.05,1086,94,15.0,16.01,0,0.53,103.66,313,302,Poulain
meat,Ziege,Goat meat,2966,1093.89,1090,11,3.9,0,0,0.59,149.04,404,271,Chèvre
meat,Schinken,Ham,3599,1147.19,1145,7,2.2,0,0,0.51,105.09,330,314,Jambon
meat,Pferd,Horse,5087,1685.05,1654,94,15.0,16.01,0,0.53,103.66,313,302,Cheval
meat,Känguru,Kangaroo meat,873,338.13,298,104,8.2,31.91,0,0.62,158.35,409,258,Kangourou
meat,Lamm,Lamb,3382,1120.24,1090,91,8.6,21.6,0,0.53,112.97,341,302,Agneau
meat,Lamm (Rücken),Lamb (back),2946,1031.24,1001,86,8.6,21.6,0,0.56,117.75,336,286,Agneau (dos)
meat,Lamm (Kotelett),Lamb (chop of meat),3300,1720.24,1690,58,8.6,21.6,0,0.834,112.97,217,192,Agneau (côtelette)
meat,Lamm (Keule),Lamb (leg),2918,1094.24,1064,81,8.6,21.6,0,0.6,153.82,410,267,Agneau (gigot)
meat,Lamm (Fleisch ohne Knochen),Lamb (meat without bones),2063,1120.24,1090,56,8.6,21.6,0,0.869,112.97,208,184,Agneau (viande désossée)
meat,Lamm (Hals und Brust),Lamb (neck and breast),2500,781.24,751,97,8.6,21.6,0,0.5,153.82,492,320,Agneau (cou et poitrine)
meat,Lamm (Schulter),Lamb (shoulder),2536,1046.24,1016,73,8.6,21.6,0,0.66,187.49,455,242,Agneau (épaule)
meat,Schweineschmalz,Lard,580,605.19,603,2,2.2,0,0,1.67,874.18,838,96,Lard
meat,Fleisch,Meat,2393,942.19,940,6,2.2,0,0,0.63,160.27,407,254,Viande
meat,Strauss,Ostrich,3043,1065.01,1036,83,12.5,16.54,0,0.56,108.8,311,286,Autruche
meat,Schwein,Pork,1629,692.19,690,5,2.2,0,0,0.68,158.35,373,235,Porc
meat,Schwein (Brust),Pork (breast),1557,710.19,708,5,2.2,0,0,0.73,236.94,519,219,Porc (poitrine)
meat,Schwein (Kotelett),Pork (chop of meat),2993,1141.19,1139,6,2.2,0,0,0.61,138.05,362,262,Porc (escalope)
meat,Schwein (Geschnetzeltes),Pork (cut intro stripes),1838,666.19,664,6,2.2,0,0,0.58,134.23,370,276,Porc (râpé)
meat,Schwein (Filet),Pork (filet),6008,2140.19,2138,6,2.2,0,0,0.57,122.05,343,281,Porc (filet)
meat,Schwein (Hackfleisch),Pork (ground meat),1719,666.19,664,6,2.2,0,0,0.62,158.35,409,258,Porc (viande hachée)
meat,Schwein (Lendenkotelett),Pork (loin chop),2993,1141.19,1139,6,2.2,0,0,0.61,138.05,362,262,Porc (côtelette de longe)
meat,Schwein (Halsbraten),Pork (neck),2280,969.19,967,5,2.2,0,0,0.68,201.35,474,235,Porc (rôti de cou)
meat,"Schwein (Ragout, Haxen)",Pork (ragout),1492,671.19,669,5,2.2,0,0,0.72,181.28,403,222,"Porc (ragoût, jarret)"
meat,Schwein (Schwarte),Pork (rind),950,439.19,437,5,2.2,0,0,0.74,250,541,216,Porc (couenne)
meat,Schwein (Wurstfleisch),Pork (sausage),1004,439.19,437,5,2.2,0,0,0.7,234.07,535,229,Porc (chair à saucisse)
meat,Schwein (Schnitzel),Pork (schnitzel),2280,969.19,967,5,2.2,0,0,0.68,201.35,474,235,Porc (escalope)
meat,Schwein (Schulterbraten),Pork (shoulder),2194,987.19,985,5,2.2,0,0,0.72,181.28,403,222,Porc (rôti d'épaule)
meat,Rohschinken,Prosciutto,3599,1147.19,1145,7,2.2,0,0,0.51,105.09,330,314,Jambon cru
meat,Quorn,Quorn,1045,273.00,260,50,13.0,0,0,0.418,114,436,383,Quorn
meat,Kaninchen,Rabbit meat,1761,660.37,655,14,5.4,0,0,0.6,149.52,399,267,Lapin
meat,Salami,Salami,1048,812.19,810,3,2.2,0,0,1.24,482.47,623,129,Salami
meat,Seitan,Seitan,478,143.37,105,128,24.8,13.58,0,0.48,92,307,333,Seitan
meat,Geräucherter Schinken,Smoked ham,2039,1147.19,1145,4,2.2,0,0,0.9,228.81,407,178,Jambon fumé
meat,Tempeh,Tempeh,516,148.37,110,133,24.8,13.58,0,0.46,150.47,523,348,Tempeh
meat,Tofu,Tofu,643,120.53,106,77,13.3,1.24,0,0.3,80.49,429,533,Tofu
meat,Truthuhn,Turkey,1267,451.33,440,32,7.3,4.08,0,0.57,108.91,306,281,Dinde
meat,Kalb,Veal,7925,2823.44,2821,7,2.4,0,0,0.57,128.02,359,281,Veau
meat,Kalb (Brust),Veal (breast),3820,1599.44,1597,6,2.4,0,0,0.67,202.54,484,239,Veau (poitrine)
meat,Kalb (Kotelett),Veal (chop of meat),11790,4568.44,4566,6,2.4,0,0,0.62,160.98,415,258,Veau (escalope)
meat,Kalb (Geschnetzeltes),Veal (cut intro stripes),9384,3108.44,3106,7,2.4,0,0,0.53,99.12,299,302,Veau (escalopes)
meat,Kalb (Filet),Veal (filet),18779,6455.44,6453,7,2.4,0,0,0.55,119.66,348,291,Veau (filet)
meat,Kalb (Hackfleisch),Veal (ground meat),6915,2247.44,2245,8,2.4,0,0,0.52,104.38,321,308,Veau (viande hachée)
meat,Kalb (Haxen),Veal (leg),5642,1939.44,1937,7,2.4,0,0,0.55,123.01,358,291,Veau (jarret)
meat,Kalb (Leber),Veal (liver),3405,1170.44,1168,7,2.4,0,0,0.55,135.43,394,291,Veau (foie)
meat,Kalb (Halsbraten),Veal (neck),5898,2027.44,2025,7,2.4,0,0,0.55,134,390,291,Veau (rôti de cou)
